companyCd,companyNm,companyNmEn,companyPartNames,ceoNm,filmoNames
20102757,샤이닝 문 프로덕션,Shining Moon Productions,제작사,,
20102559,샤이엔 엔터프라이지즈,Cheyenne Enterprises,제작사,,"다이 하드 4 : 죽어도 산다,나인 야드 2"
20101246,샴셔,Sharmshir,제작사,,
20103884,서드웨스트 필름 프로덕션,Sudwest Film Filmproduktion,제작사,,
20101578,서륭프로덕션,,배급사,,
20101294,서미트 엔터티인먼트,Summit Entertainment,"제작사,배급사",,"레드,레터스 투 줄리엣,이클립스,푸시,섹시한 미녀는 괴로워,섹스 드라이브,엘라의 계곡,에비타 "
20103600,서브어번 픽쳐스,Suburban Pictures,제작사,,인형의 집으로 오세요 
20101291,서브테란니언 프로덕션,Subterranean Productions,,,
20100023,서울동화,,"제작사,배급사,저작권관련사",양동욱,"블랙 트리오,로버트군단과 메카3,84 태권 V,스페이스 간담브이,슈퍼 태권V,초합금 로보트 쏠라 123,로보트 태권 V"
20101579,서울미디어,,제작사,,
20100889,서울엠피필름(주),,"배급사,수입사",,"우리도 사랑한다,바시르와 왈츠를,컨트롤,그래도 내가 하지 않았어"
20104303,서울영배,,배급사,,
20100037,서울영상(주),,"제작사,배급사",김순식,
20104286,서울프로,,,,"죽음의 뺏지,넝쿨속의 히야신스"
20102935,서원태필름,,제작사,,"토니 레인즈의 한국영화 25년,낫씽 투 루즈"
20100991,서준영화사,,"제작사,기타",,사랑의 종합병원
20102903,서지 오브 파워 엔터테인먼트,Surge of Power Enterprises LLC,제작사,,
20100971,서진필름,,제작사,,우리가 진정 가야할 곳은
20102594,서클 필름즈,Circle Films,제작사,,위험한 파티
20104069,서클스 모션 픽쳐스,CIRCLES MOTION PICTURES,제작사,,
20103845,선센트 시네마웍스,Suncent CinemaWorks Inc.,제작사,,
20101296,선셋 필름 인터내셔널,Sunset Films International,제작사,,
20100700,선우애니메이션,Sunwoo Animation,제작사,강한영,천년여우 여우비
20101584,선익필름,,제작사,오은주,
20103377,설문대영상,Seolmundae Film,제작사,김경률,지슬 - 끝나지 않은 세월2
20101293,섬머 노리지,Summer Knowledge LLC,제작사,,나는 아직도 네가 지난 여름에 한 일을 알고 있다
20101585,성도흥업㈜,,"제작사,배급사,수입사",,"소오강호,인신매매,강시 오복성,화려한 살인,모멘트오브러브,호호전,이조춘화도,노소강호,디먼러버,87 영자의 전성시대,블랙댄싱,블러드타이,주말의 정사,보디카운트"
20103000,성안,,기타,,
20100776,성연엔터테인먼트,,제작사,,손톱
20102207,성일,,,,
20104317,성창필림,,수입사,,"바이브레이션 ,패스트 머니 ,라스베가스를 떠나며 ,맬리시우스,블러드 링 2 ,에로틱 타잔 ,나타리 ,야성적 본능 "
20101586,성휘해외유한공사,Star Overseas ,"제작사,배급사",,쿵푸 허슬
20102383,세가 코퍼레이션,SEGA Corporation,제작사,,
20100963,세경영화㈜,,"제작사,수입사",,"특수요원 샘,남자가 여자를 사랑할 때,슈퍼 마리오,도어즈,원초적 무기,에밀리 브론테의 폭풍의 언덕,그대안의 블루,유니버설 솔져,걸어서 하늘까지,에이스,15년 3시간 전,제5의 사나이,터미네이터2 3D,LA이야기,발몽,고스트 바스터즈 2,감옥풍운,입을 연 석류,용호쌍권,최후의 증인,군용열차,재뉴어리,바르데즈,메카닉,프렌치 커넥션,복서,알프스 대탈출,정의의 건벨트,거대한 서부"
20101034,세계영화,,제작사,,
20102356,세나토르 필름 프로덕션,Senator Film Prodduktion,제작사,,베른의 기적
20102628,세딕,Sedic,"제작사,배급사",,어둠의 아이들
20104287,세라,,,,
20102164,세렌니티 엔터테인먼트 인터내셔널,Serenity Entertainment International,배급사,,
20103762,세렌디피티 포인트 필름,Serendipity Point Films,제작사,,스위트 룸
20101243,세븐 아트 프로덕션,Seven Arts Productions,제작사,,"룰스 오브 인게이지먼트,웨스트 사이드 스토리"
20101244,세븐 픽쳐스,Seven Pictures,,,베른의 기적
20104096,"세븐스플로어,더","7th Floor, The ","제작사,배급사",,
20100790,세븐힐즈,,수입사,,사토라레
20102202,세양,,,,
