,movie,score,audience,score_edited,aud_edited,avg score,avg aud
825,['동구 밖'],['missing data'],['missing data'],0,0,0.0,0.0
826,['공포 탈출'],['missing data'],['missing data'],0,0,0.0,0.0
827,['missing data'],['missing data'],['missing data'],0,0,0.0,0.0
828,['귀멸의 칼날: 아사쿠사 편'],['7.18'],['2.2만명'],[7.18],[22000.0],7.18,22000.0
829,['머니백'],['7.21'],['5.3만명'],[7.21],[53000.0],7.21,53000.0
830,['3월 단편 상상극장-류혜영을 보라'],['missing data'],['missing data'],0,0,0.0,0.0
831,['바틀 로켓'],['missing data'],['missing data'],0,0,0.0,0.0
832,['가끔 그녀를 생각한다'],['missing data'],['missing data'],0,0,0.0,0.0
833,['스파이더맨: 홈 커밍'],['9.10'],['755만명'],[9.1],[7550000.0],9.1,7550000.0
834,['새벽을 알리는 루의 노래'],['9.22'],"['9,240명']",[9.22],[9240.0],9.22,9240.0
835,['너의 췌장을 먹고 싶어'],['8.50'],['5.3만명'],[8.5],[53000.0],8.5,53000.0
836,"['첫잔처럼', '우리마을']","['8.87', 'missing data']","['290명', 'missing data']",[8.87],[290.0],8.87,290.0
837,['헝거게임: 더 파이널'],['7.87'],['80만명'],[7.87],[800000.0],7.87,800000.0
838,['페이지 터너'],['7.08'],"['1,657명']",[7.08],[1657.0],7.08,1657.0
839,['오피스'],['7.08'],['44만명'],[7.08],[440000.0],7.08,440000.0
840,['레슬러'],['missing data'],['missing data'],0,0,0.0,0.0
841,['트루 스토리'],['missing data'],['missing data'],0,0,0.0,0.0
842,['아빠'],['missing data'],['missing data'],0,0,0.0,0.0
843,['애프터: 관계의 함정'],['6.74'],['1.9만명'],[6.74],[19000.0],6.74,19000.0
844,['극장판 기븐'],['9.53'],"['4,585명']",[9.53],[4585.0],9.53,4585.0
845,"['하이, 젝시', '21 앤드 오버']","['6.76', '6.30']","['2.9만명', '200명']","[6.76, 6.3]","[29000.0, 200.0]",6.529999999999999,14600.0
846,['복수 : 운명의 방문자'],['missing data'],['missing data'],0,0,0.0,0.0
847,['마약왕'],['7.16'],['186만명'],[7.16],[1860000.0],7.16,1860000.0
848,['옆자리 괴물군'],['missing data'],['missing data'],0,0,0.0,0.0
849,['어떤 여자들'],['missing data'],['missing data'],0,0,0.0,0.0
850,['애프터'],['missing data'],['missing data'],0,0,0.0,0.0
851,['공포체험라디오 4DX'],['3.25'],"['1,794명']",[3.25],[1794.0],3.25,1794.0
852,['시간의식'],['99분'],['missing data'],[0],0,0.0,0.0
853,['친밀함'],['missing data'],['missing data'],0,0,0.0,0.0
854,[],0,0,0,0,0.0,0.0
855,['천로역정: 천국을 찾아서'],['9.44'],['29만명'],[9.44],[290000.0],9.44,290000.0
856,['도라에몽 : 스탠 바이 미'],['8.80'],['8.2만명'],[8.8],[82000.0],8.8,82000.0
857,"['나, 다니엘 블레이크']",['9.28'],['10만명'],[9.28],[100000.0],9.28,100000.0
858,['슈퍼미니'],['7.89'],['4.8만명'],[7.89],[48000.0],7.89,48000.0
859,[],0,0,0,0,0.0,0.0
860,['리어왕'],['missing data'],['missing data'],0,0,0.0,0.0
861,['정직한 후보'],['6.94'],['89만명'],[6.94],[890000.0],6.94,890000.0
862,['미스터트롯: 더 무비'],['9.00'],['15만명'],[9.0],[150000.0],9.0,150000.0
863,[],0,0,0,0,0.0,0.0
864,['아바타: 물의 길'],['8.82'],"['1,080만명']",[8.82],[10800000.0],8.82,10800000.0
865,['브리짓 존스의 베이비'],['9.10'],['82만명'],[9.1],[820000.0],9.1,820000.0
866,['크로싱 비욘드'],['missing data'],['missing data'],0,0,0.0,0.0
867,['드래곤 프린세스'],['missing data'],['missing data'],0,0,0.0,0.0
868,['프로페서 앤 매드맨'],['7.65'],['1.8만명'],[7.65],[18000.0],7.65,18000.0
869,"['극장판 포켓몬스터 베스트위시: 신의 속도 게노세크트, 뮤츠의 각성']",['8.36'],['32만명'],[8.36],[320000.0],8.36,320000.0
870,['더 배트맨'],['8.07'],['90만명'],[8.07],[900000.0],8.07,900000.0
